240, 32.134906, 38.848084, 1.170273
191, 30.185403, 34.243799, 5.880938
186, 25.584487, 36.201237, 0.573341
60, 23.043058, 34.560256, 1.281536
55, 21.616839, 29.767981, 0.383211
52, 16.979494, 27.898480, 5.252173
51, 14.409743, 32.187580, 0.776824
50, 10.844026, 28.682489, 0.712681
47, 7.060969, 25.413164, 6.238846
43, 2.065884, 25.634789, 0.516150
34, -2.282746, 23.167113, 1.790989
32, -1.190658, 18.287836, 1.554639
31, -1.271440, 13.288489, 0.604264
27, -5.386042, 10.447705, 2.005703
24, -3.279415, 5.913158, 1.904572
19, -1.641353, 1.189097, 2.650859
15, 2.768584, -1.167268, 1.769361
14, 3.754894, -6.069022, 2.280194
12, 7.011779, -9.862793, 3.259564
11, 11.977026, -9.274305, 2.054303
10, 14.301461, -13.701155, 2.304835
9, 17.650829, -17.413530, 3.244860
8, 22.624193, -16.898112, 2.900581
7, 27.479678, -18.091536, 2.338906
6, 30.953561, -21.687664, 3.162051
5, 35.952515, -21.585381, 2.322412
4, 39.366616, -25.238314, 1.858700
3, 40.786329, -30.032520, 1.474453
2, 40.305358, -35.009333, 1.509687
1, 40.000000, -40.000000, 0.000000
